1,boulder,v1
2,boulder,v2
3,boulder,v3
4,boulder,v4
5,boulder,v5
6,boulder,v6
7,boulder,v7
8,boulder,v8
9,boulder,v9
10,boulder,v10
11,boulder,v11
12,boulder,v12
13,boulder,v13
14,boulder,v14
15,boulder,v15
16,boulder,v16
17,boulder,v17
18,route,5.10a
19,route,5.10b
20,route,5.10c
21,route,5.10d
22,route,5.11a
23,route,5.11b
24,route,5.11c
25,route,5.11d
26,route,5.12a
27,route,5.12b
28,route,5.12c
29,route,5.12d
30,route,5.13a
31,route,5.13b
32,route,5.13c
33,route,5.13d
34,route,5.14a
35,route,5.14b
36,route,5.14c
37,route,5.14d
38,route,5.15a
39,route,5.15b
40,route,5.15c
41,route,5.15d
